Year,Tmax,DT,E0_OA1,E0_OA0,E1_OA1,E1_OA0
1870,29.678,0,99.654,99.654,99.532,99.532
1880,28.577,0,99.623,99.623,99.377,99.377
1890,26.787,0,99.449,99.449,99.221,99.21
1900,27.379,0,99.314,99.314,98.971,98.961
1910,26.249,0,99.408,99.408,99.023,99.013
1920,27.425,0,98.514,98.473,97.891,97.829
1930,27.077,0.0056685,98.296,98.244,97.631,97.579
1940,26.723,0.063993,97.995,97.932,97.153,97.122
1950,28.55,0.10432,97.07,96.987,95.855,95.823
1951,27.8,0.13341,96.384,96.281,95.034,94.971
1952,27.128,0.17073,96.519,96.436,95.21,95.169
1953,27.787,0.14285,96.166,96.073,94.857,94.774
1954,28.745,0.10295,96.509,96.426,95.366,95.273
1955,28.41,0.088391,96.925,96.842,96.083,95.969
1956,27.556,0.10743,97.008,96.925,96.114,96.01
1957,27.519,0.14941,97.506,97.423,96.53,96.436
1958,26.875,0.13939,97.745,97.662,96.655,96.571
1959,26.56,0.087271,97.164,97.07,95.813,95.73
1960,26.726,0.077761,97.278,97.174,95.803,95.709
1961,26.251,0.1039,97.662,97.579,96.332,96.26
1962,26.307,0.060047,97.6,97.538,96.395,96.322
1963,27.286,0,97.662,97.61,96.571,96.499
1964,27.52,0,97.694,97.631,96.665,96.582
1965,26.749,0,97.423,97.371,96.499,96.447
1966,26.555,0,97.195,97.132,96.353,96.301
1967,27.108,0,97.184,97.112,96.426,96.384
1968,27,0,97.257,97.184,96.603,96.571
1969,26.165,0,97.808,97.745,97.351,97.319
1970,26.261,0.0083133,98.514,98.473,98.275,98.223
1971,27.485,0.041306,98.888,98.816,98.649,98.587
1972,28.319,0.058366,98.919,98.826,98.681,98.629
1973,27.952,0.071659,99.034,98.919,98.816,98.774
1974,26.532,0.055336,99.138,99.003,98.93,98.899
1975,26.163,0.034272,99.086,98.951,98.847,98.836
1976,27.215,0.051353,99.179,99.086,98.971,98.971
1977,28.168,0.093785,99.46,99.397,99.325,99.325
1978,28.169,0.12414,99.501,99.47,99.345,99.345
1979,27.19,0.13122,99.553,99.553,99.387,99.387
1980,26.353,0.14025,99.481,99.481,99.252,99.252
1981,25.708,0.13095,99.086,99.086,98.878,98.878
1982,25.432,0.12622,97.371,97.371,96.852,96.852
1983,25.61,0.14979,97.268,97.268,96.727,96.727
1984,26.154,0.19158,97.07,97.07,96.447,96.447
1985,26.855,0.18933,96.592,96.592,95.906,95.906
1986,26.995,0.20309,93.839,93.808,92.852,92.831
1987,27.619,0.25413,93.548,93.517,92.592,92.571
1988,28.406,0.29744,91.969,91.938,90.764,90.743
1989,28.288,0.27635,90.4,90.369,89.049,89.029
1990,27.297,0.25764,88.779,88.686,87.2,87.148
1991,26.885,0.27041,89.683,89.579,88.01,87.969
1992,27.594,0.30448,89.59,89.455,87.771,87.709
1993,28.046,0.29718,89.766,89.61,88.052,87.938
1994,28.506,0.29106,89.122,88.935,87.304,87.106
1995,28.619,0.34131,89.309,89.153,87.553,87.304
1996,28.277,0.42424,89.59,89.444,87.969,87.657
1997,28.474,0.46478,90.608,90.462,89.455,89.101
1998,28.862,0.46548,90.036,89.881,89.081,88.706
1999,28.976,0.47169,90.982,90.805,90.421,90.068
2000,28.816,0.51905,89.496,89.319,89.34,88.997
2001,28.805,0.57439,88.332,88.135,88.831,88.488
2002,28.672,0.61101,87.387,87.148,87.958,87.605
2003,28.232,0.58494,87.044,86.764,87.896,87.553
2004,28.333,0.57669,85.081,84.758,86.431,86.026
2005,28.561,0.62842,84.052,83.74,85.87,85.496
2006,28.59,0.67217,82.784,82.545,84.966,84.623
2007,28.609,0.68025,80.021,79.917,82.722,82.431
2008,28.403,0.64353,78.192,78.203,81.226,80.945
2009,28.109,0.63316,77.61,77.787,80.748,80.571
2010,28.324,0.65682,77.309,77.538,80.758,80.561
2011,28.561,0.67581,78.223,78.535,81.725,81.517
2012,28.635,0.68421,80.042,80.426,83.47,83.294
2013,28.51,0.70824,81.558,81.984,84.966,84.873
2014,28.231,0.73759,82.764,83.242,86.161,86.119
2015,28.234,0.74704,83.273,83.771,86.764,86.784
2016,28.397,0.77873,82.203,82.67,86.244,86.317
2017,28.528,0.8328,81.652,82.078,86.14,86.244
2018,28.527,0.85309,80.478,81.039,85.777,85.953
2019,27.973,0.85604,79.688,80.301,85.694,85.943
2020,27.213,0.87892,79.99,80.748,86.494,86.868
2021,27.531,0.88603,80.821,81.683,87.491,88.052
2022,28.128,0.86307,80.582,81.652,87.823,88.478
2023,28.375,0.85452,80.655,81.797,88.239,88.904
2024,28.504,0.87614,76.468,77.808,85.257,85.922
2025,28.502,0.91486,74.982,76.561,84.758,85.382
2026,27.922,0.92883,73.984,75.792,84.405,84.935
2027,27.1,0.90725,73.174,75.138,84.53,84.966
2028,27.28,0.92733,72.499,74.618,84.852,85.257
2029,27.832,0.97579,73.694,75.906,85.974,86.327
2030,28.17,1.0187,72.987,75.294,85.548,85.922
2031,28.333,1.0404,71.543,73.995,84.977,85.413
2032,28.353,1.02,69.725,72.281,84.166,84.634
2033,28.274,1.0114,67.792,70.431,83.075,83.564
2034,28.262,1.019,67.616,70.255,83.761,84.343
2035,28.308,1.0149,67.148,69.683,84.166,84.831
2036,28.284,1.0259,65.174,67.657,82.764,83.377
2037,28.186,1.086,63.366,65.704,81.257,82.088
2038,28.166,1.1219,62.255,64.426,80.353,81.392
2039,28.219,1.1077,61.101,63.169,79.699,80.914
2040,28.289,1.1135,56.821,58.836,75.595,76.831
2041,28.311,1.1669,54.151,56.145,73.922,75.21
2042,28.088,1.203,51.917,54.016,72.623,73.787
2043,27.753,1.1604,48.509,50.701,70.016,70.961
2044,27.797,1.1478,44.831,47.335,67.231,67.979
2045,27.996,1.1912,44.478,47.377,68.135,68.997
2046,28.11,1.1955,43.927,47.262,68.488,69.382
2047,28.159,1.1753,41.995,45.506,66.712,67.688
2048,28.02,1.1912,40.395,44.374,65.86,67.065
2049,27.725,1.2383,39.574,43.855,65.413,66.836
2050,27.725,1.2365,38.296,42.836,64.696,66.265
2051,27.902,1.2386,35.979,40.364,62.701,64.79
2052,27.804,1.2778,33.849,38.358,62.66,65.164
2053,27.48,1.306,32.187,36.769,62.784,65.621
2054,27.469,1.2774,30.099,34.909,63.439,66.784
2055,27.705,1.2646,27.21,31.564,62.005,65.216
2056,27.943,1.2998,25.081,29.33,61.974,65.07
2057,28.114,1.3406,23.647,27.782,61.392,64.509
2058,28.174,1.3344,21.964,25.849,61.714,65.049
2059,27.929,1.3481,20.613,24.031,62.275,65.662
2060,27.464,1.364,19.865,23.543,64.551,68.021
2061,27.404,1.3727,19.148,23.148,66.764,70.036
2062,27.649,1.3796,18.452,22.795,69.86,72.821
2063,27.687,1.3724,17.662,22.494,71.47,73.943
2064,27.725,1.3753,16.603,21.964,72.239,74.265
2065,27.68,1.3946,16.01,21.995,73.205,75.273
2066,27.394,1.4175,15.636,21.984,73.517,75.647
2067,27.283,1.4297,15.179,21.984,73.029,75.273
2068,27.311,1.4266,14.774,21.683,72.156,74.504
2069,27.213,1.4298,14.234,21.018,71.023,73.413
2070,27.016,1.4708,13.455,19.886,69.87,72.239
2071,26.818,1.4862,12.758,18.971,68.436,70.826
2072,26.874,1.4945,11.688,16.914,65.538,68.083
2073,26.952,1.5376,10.66,15.21,63.751,66.545
2074,26.95,1.5218,9.9221,14.005,62.525,65.455
2075,27.358,1.4623,9.3195,13.018,61.465,64.758
2076,28.547,1.4601,8.6857,11.99,60.945,64.468
2077,29.544,1.4694,8.2909,11.979,62.13,65.652
2078,28.76,1.4733,8.187,12.166,62.608,66.036
2079,26.816,1.4793,7.9481,11.969,62.951,66.452
2080,26.066,1.5052,7.8026,12.062,63.553,66.868
